time,V(vo),I(Rd)
1.96E-03,4.66E+00,2.15E-03
2.00E-03,4.66E+00,2.15E-03
2.00E-03,4.66E+00,2.15E-03
Step Information: X=60  (Run: 60/1000),,
0.00E+00,4.49E+00,2.24E-03
1.96E-03,4.49E+00,2.24E-03
2.00E-03,4.49E+00,2.24E-03
2.00E-03,4.49E+00,2.24E-03
Step Information: X=61  (Run: 61/1000),,
0.00E+00,4.57E+00,2.21E-03
1.96E-03,4.57E+00,2.21E-03
2.00E-03,4.57E+00,2.21E-03
2.00E-03,4.57E+00,2.21E-03
Step Information: X=62  (Run: 62/1000),,
0.00E+00,4.61E+00,2.20E-03
1.96E-03,4.61E+00,2.20E-03
2.00E-03,4.61E+00,2.20E-03
2.00E-03,4.61E+00,2.20E-03
Step Information: X=63  (Run: 63/1000),,
0.00E+00,4.43E+00,2.27E-03
1.96E-03,4.43E+00,2.27E-03
2.00E-03,4.43E+00,2.27E-03
2.00E-03,4.43E+00,2.27E-03
Step Information: X=64  (Run: 64/1000),,
0.00E+00,4.56E+00,2.22E-03
1.96E-03,4.56E+00,2.22E-03
2.00E-03,4.56E+00,2.22E-03
2.00E-03,4.56E+00,2.22E-03
Step Information: X=65  (Run: 65/1000),,
0.00E+00,5.40E+00,1.79E-03
1.96E-03,5.40E+00,1.79E-03
2.00E-03,5.40E+00,1.79E-03
2.00E-03,5.40E+00,1.79E-03
Step Information: X=66  (Run: 66/1000),,
0.00E+00,4.46E+00,2.26E-03
1.96E-03,4.46E+00,2.26E-03
2.00E-03,4.46E+00,2.26E-03
2.00E-03,4.46E+00,2.26E-03
Step Information: X=67  (Run: 67/1000),,
0.00E+00,4.50E+00,2.24E-03
1.96E-03,4.50E+00,2.24E-03
2.00E-03,4.50E+00,2.24E-03
2.00E-03,4.50E+00,2.24E-03
Step Information: X=68  (Run: 68/1000),,
0.00E+00,4.62E+00,2.19E-03
1.96E-03,4.62E+00,2.19E-03
2.00E-03,4.62E+00,2.19E-03
2.00E-03,4.62E+00,2.19E-03
Step Information: X=69  (Run: 69/1000),,
0.00E+00,5.29E+00,1.87E-03
1.96E-03,5.29E+00,1.87E-03
2.00E-03,5.29E+00,1.87E-03
2.00E-03,5.29E+00,1.87E-03
Step Information: X=70  (Run: 70/1000),,
0.00E+00,4.26E+00,2.38E-03
1.96E-03,4.26E+00,2.38E-03
2.00E-03,4.26E+00,2.38E-03
2.00E-03,4.26E+00,2.38E-03
Step Information: X=71  (Run: 71/1000),,
0.00E+00,5.34E+00,1.81E-03
1.96E-03,5.34E+00,1.81E-03
2.00E-03,5.34E+00,1.81E-03
2.00E-03,5.34E+00,1.81E-03
Step Information: X=72  (Run: 72/1000),,
0.00E+00,5.12E+00,1.95E-03
1.96E-03,5.12E+00,1.95E-03
2.00E-03,5.12E+00,1.95E-03
2.00E-03,5.12E+00,1.95E-03
Step Information: X=73  (Run: 73/1000),,
0.00E+00,4.65E+00,2.19E-03
1.96E-03,4.65E+00,2.19E-03
2.00E-03,4.65E+00,2.19E-03
2.00E-03,4.65E+00,2.19E-03
Step Information: X=74  (Run: 74/1000),,
0.00E+00,4.44E+00,2.27E-03
1.96E-03,4.44E+00,2.27E-03
2.00E-03,4.44E+00,2.27E-03
2.00E-03,4.44E+00,2.27E-03
Step Information: X=75  (Run: 75/1000),,
0.00E+00,4.66E+00,2.16E-03
1.96E-03,4.66E+00,2.16E-03
2.00E-03,4.66E+00,2.16E-03
2.00E-03,4.66E+00,2.16E-03
Step Information: X=76  (Run: 76/1000),,
0.00E+00,4.45E+00,2.29E-03
1.96E-03,4.45E+00,2.29E-03
2.00E-03,4.45E+00,2.29E-03
2.00E-03,4.45E+00,2.29E-03
Step Information: X=77  (Run: 77/1000),,
0.00E+00,4.59E+00,2.20E-03
1.96E-03,4.59E+00,2.20E-03
2.00E-03,4.59E+00,2.20E-03
2.00E-03,4.59E+00,2.20E-03
Step Information: X=78  (Run: 78/1000),,
0.00E+00,4.48E+00,2.28E-03
1.96E-03,4.48E+00,2.28E-03
2.00E-03,4.48E+00,2.28E-03
2.00E-03,4.48E+00,2.28E-03
Step Information: X=79  (Run: 79/1000),,
0.00E+00,4.59E+00,2.19E-03
1.96E-03,4.59E+00,2.19E-03
2.00E-03,4.59E+00,2.19E-03
2.00E-03,4.59E+00,2.19E-03
Step Information: X=80  (Run: 80/1000),,
0.00E+00,4.58E+00,2.19E-03
1.96E-03,4.58E+00,2.19E-03
2.00E-03,4.58E+00,2.19E-03
2.00E-03,4.58E+00,2.19E-03
Step Information: X=81  (Run: 81/1000),,
0.00E+00,4.58E+00,2.21E-03
1.96E-03,4.58E+00,2.21E-03
2.00E-03,4.58E+00,2.21E-03
2.00E-03,4.58E+00,2.21E-03
Step Information: X=82  (Run: 82/1000),,
0.00E+00,4.75E+00,2.13E-03
1.96E-03,4.75E+00,2.13E-03
2.00E-03,4.75E+00,2.13E-03
2.00E-03,4.75E+00,2.13E-03
Step Information: X=83  (Run: 83/1000),,
0.00E+00,5.08E+00,1.97E-03
1.96E-03,5.08E+00,1.97E-03
2.00E-03,5.08E+00,1.97E-03
2.00E-03,5.08E+00,1.97E-03
Step Information: X=84  (Run: 84/1000),,
0.00E+00,4.51E+00,2.27E-03
1.96E-03,4.51E+00,2.27E-03
2.00E-03,4.51E+00,2.27E-03
2.00E-03,4.51E+00,2.27E-03
Step Information: X=85  (Run: 85/1000),,
0.00E+00,4.44E+00,2.26E-03
1.96E-03,4.44E+00,2.26E-03
2.00E-03,4.44E+00,2.26E-03
